id,name,dim,type,human,ai,gap,detail,absgap
PLT_STR_001,Global Arc Shape,plot,categorical,85.0,94.0,9.0,'classic_rising_action_to_climax_to_denouement': human 85% vs AI 94%,9.0
PLT_STR_002,Narrative Entry Frame,plot,categorical,48.0,62.0,14.0,'chronological_from_earliest_relevant_event': human 48% vs AI 62%,14.0
PLT_STR_003,Density of Subplots,plot,ordinal,60.0,81.0,20.0,'no_significant_subplots': human 60% vs AI 81%,20.0
PLT_STR_005,Dominant Revelation Pattern,plot,categorical,25.0,39.0,14.0,'transparent_exposition_minimal_secrets': human 25% vs AI 39%,14.0
PLT_STR_006,Climax Placement,plot,categorical,94.0,96.0,2.0,'late_climax_near_end': human 94% vs AI 96%,2.0
PLT_MOR_001,Moral/Lesson Explicitness,plot,ordinal,4.0,1.0,-3.0,'no_discernible_moral_or_thematic_judgment': human 4% vs AI 1%,3.0
PLT_MOR_003,Ending Closure Type,plot,categorical,35.0,19.0,-15.0,'ambiguous_or_interpretive_ending': human 35% vs AI 19%,15.0
PLT_MOR_004,Protagonist Transformational Trajectory,plot,categorical,44.0,68.0,24.0,'positive_growth_or_enlightenment': human 44% vs AI 68%,24.0
PLT_MOR_006,Degree of Closure,plot,scale,3.9,4.2,0.3,mean human 3.90 vs AI 4.20,0.3
PLT_MOR_007,Post-Climax Denouement Length,plot,ordinal,15.0,51.0,36.0,'extended (multiple scenes/time jumps of aftermath/epilogue)': human 15% vs AI 51%,36.0
PLT_MOR_002,Moral Polarity Toward Protagonist,plot,categorical,30.0,52.0,22.0,'affirmative_heroic': human 30% vs AI 52%,22.0
PLT_STR_007,Tension Escalation Clarity,plot,scale,3.9,4.12,0.22,mean human 3.90 vs AI 4.12,0.22
PLT_STR_009,Primary Stakes Domain,plot,categorical,59.0,69.0,10.0,'identity/sanity/psychic_integrity': human 59% vs AI 69%,10.0
PLT_STR_010,Stakes Breadth,plot,ordinal,71.0,66.0,-5.0,'intimate (affects only protagonist or small dyad)': human 71% vs AI 66%,5.0
PLT_STR_011,Stakes Types Present,plot,multi_select,71.0,86.0,16.0,'moral_or_spiritual_integrity': human 71% vs AI 86%,16.0
SET_LOC_005,Dominant Spatial Scale,setting,categorical,26.0,35.0,9.0,'household_or_local_block': human 26% vs AI 35%,9.0
SET_LOC_008,Dominant Space Types,setting,multi_select,62.0,52.0,-10.0,'public_social': human 62% vs AI 52%,10.0
SET_LOC_009,Recurring Symbolic Anchor Settings,setting,binary,17.0,8.0,-9.0,'no': human 17% vs AI 8%,9.0
SET_LOC_010,Ontological Ambiguity of Place,setting,categorical,62.0,61.0,0.0,'straightforward_mimetic': human 62% vs AI 61%,0.0
SET_LOC_002,Spatial Granularity Level,setting,ordinal,30.0,54.0,24.0,'4_high': human 30% vs AI 54%,24.0
SET_LOC_011,Location Variety Scope,setting,ordinal,26.0,15.0,-11.0,'3_many_within_one_region': human 26% vs AI 15%,11.0
SET_LOC_016,Ontological Stability of Environment,setting,categorical,9.0,9.0,1.0,'reality_fluid_or_unstable': human 9% vs AI 9%,1.0
SET_LOC_018,Setting Mobility Pattern,setting,categorical,40.0,46.0,6.0,'static_single_hub': human 40% vs AI 46%,6.0
SET_LOC_003,Geospatial Coherence,setting,categorical,85.0,91.0,6.0,'single_coherent_region': human 85% vs AI 91%,6.0
SET_LOC_004,Opening Spatial Grounding,setting,ordinal,18.0,33.0,15.0,'clear_local_and_global_spatial_context': human 18% vs AI 33%,15.0
SET_LOC_007,Spatial Mobility Pattern,setting,categorical,12.0,20.0,7.0,'single_primary_location': human 12% vs AI 20%,7.0
SET_LOC_012,Built vs Natural Setting Balance,setting,categorical,65.0,63.0,-2.0,'mixed_built_and_natural': human 65% vs AI 63%,2.0
SET_LOC_013,Speculative World-Building Depth,setting,scale,2.34,2.43,0.09,mean human 2.34 vs AI 2.43,0.09
SET_LOC_014,Environmental and Ecological Emphasis,setting,scale,2.84,3.21,0.37,mean human 2.84 vs AI 3.21,0.37
SET_TIM_015,Temporal Setting Specificity,setting,categorical,33.0,39.0,6.0,'contemporary_realistic': human 33% vs AI 39%,6.0
SET_TIM_016,Temporal Scaffolding Complexity,setting,scale,2.45,2.21,-0.23,mean human 2.45 vs AI 2.21,0.23
SET_ATM_017,Dominant Sensory Modalities,setting,multi_select,57.0,82.0,25.0,'olfactory': human 57% vs AI 82%,25.0
SET_ATM_019,Setting–Plot Causal Role,setting,categorical,11.0,3.0,-8.0,'constraints_and_obstacles': human 11% vs AI 3%,8.0
SET_ATM_020,Atmospheric Construction Techniques,setting,multi_select,73.0,90.0,17.0,'weather_and_light': human 73% vs AI 90%,17.0
SET_ATM_022,Setting as Psychological Mirror,setting,scale,3.58,4.07,0.48,mean human 3.58 vs AI 4.07,0.48
SET_ATM_003,Setting Agency Level,setting,categorical,55.0,37.0,-19.0,'provides_constraints_or_opportunities': human 55% vs AI 37%,19.0
SET_ATM_004,Dominant Setting Mood Qualities,setting,multi_select,73.0,83.0,11.0,'bleak_or_oppressive': human 73% vs AI 83%,11.0
SET_ATM_005,Sensory Density,setting,scale,3.67,3.92,0.26,mean human 3.67 vs AI 3.92,0.26
SET_ATM_013,Dominant Environmental Mood,setting,categorical,33.0,26.0,-7.0,'mundane_realist': human 33% vs AI 26%,7.0
SET_LOC_015,Predominant Space Types,setting,multi_select,55.0,48.0,-7.0,'public_urban_or_commercial': human 55% vs AI 48%,7.0
SET_LOC_017,Digital or Virtual Spaces as Places,setting,binary,95.0,96.0,0.0,'no': human 95% vs AI 96%,0.0
SET_TIM_002,Temporal Anchoring Clarity,setting,ordinal,77.0,82.0,5.0,'approximate_period_only': human 77% vs AI 82%,5.0
STY_FIG_001,Figurative Device Density,style,scale,3.0,3.66,0.66,mean human 3.00 vs AI 3.66,0.66
STY_FIG_002,Dominant Figurative Device Type,style,categorical,50.0,73.0,24.0,'metaphor_dominant': human 50% vs AI 73%,24.0
STY_FIG_003,Conventional vs fresh figurative language,style,ordinal,30.0,65.0,34.0,'3 - predominantly_fresh_and_inventive_images': human 30% vs AI 65%,34.0
STY_FIG_004,Presence of extended conceit,style,binary,60.0,17.0,-43.0,'absent': human 60% vs AI 17%,43.0
STY_FIG_005,Recurrent metaphorical motif,style,binary,31.0,4.0,-27.0,'absent': human 31% vs AI 4%,27.0
STY_FIG_007,Overall imageability,style,scale,4.1,4.24,0.14,mean human 4.10 vs AI 4.24,0.14
STY_FIG_009,Concrete vs abstract lexis balance,style,scale,3.84,3.63,-0.21,mean human 3.84 vs AI 3.63,0.21
STY_CPX_002,Predominant Sentence Length Band,style,categorical,46.0,50.0,4.0,'medium_21_35_words': human 46% vs AI 50%,4.0
STY_CPX_005,Dominant Clause-Combining Strategy,style,categorical,92.0,99.0,7.0,'balanced_mixture_no_clear_dominance': human 92% vs AI 99%,7.0
STY_CPX_003,Use of Sentence Fragments,style,binary,33.0,15.0,-18.0,'absent_or_negligible': human 33% vs AI 15%,18.0
STY_CPX_004,Parataxis vs Hypotaxis Preference,style,categorical,64.0,85.0,22.0,'balanced': human 64% vs AI 85%,22.0
STY_CPX_006,Scene vs Summary Balance (Show vs Tell),style,ordinal,14.0,6.0,-8.0,'mostly_scene_or_show': human 14% vs AI 6%,8.0
STY_TON_001,Dominant Tonal Register,style,categorical,52.0,77.0,25.0,'lyrical_or_meditative': human 52% vs AI 77%,25.0
STY_TON_002,Evaluative Commentary Density,style,scale,2.32,2.31,-0.0,mean human 2.32 vs AI 2.31,0.0
STY_TON_005,Voice Markedness,style,ordinal,83.0,98.0,15.0,'moderately_marked_distinct_but_not_extreme': human 83% vs AI 98%,15.0
STY_TON_006,Sound Patterning Prominence,style,ordinal,55.0,91.0,36.0,'noticeable': human 55% vs AI 91%,36.0
STY_TON_007,Rhythmic Contrast Strategy,style,categorical,92.0,99.0,7.0,'strong_contrast_between_long_and_short': human 92% vs AI 99%,7.0
STY_ALL_002,Primary Allusion Domain,style,categorical,16.0,4.0,-12.0,'pop_culture_media_entertainment': human 16% vs AI 4%,12.0
STY_ALL_003,Allusion Obscurity Level,style,ordinal,79.0,85.0,6.0,'common_accessible_references_most_readers_will_know': human 79% vs AI 85%,6.0
STY_ALL_005,Meta-Discursive Commentary on Texts,style,binary,47.0,44.0,-3.0,'absent': human 47% vs AI 44%,3.0
STY_ALL_006,Degree of Genre Pastiche,style,categorical,22.0,16.0,-5.0,'none_straight_style_without_pastiche': human 22% vs AI 16%,5.0
STY_ALL_004,Primary Function of Allusion,style,categorical,26.0,46.0,21.0,'theme_signposting_or_moral_commentary': human 26% vs AI 46%,21.0
STY_CPX_010,Mean sentence length category,style,categorical,67.0,75.0,8.0,'medium_12_to_20_words': human 67% vs AI 75%,8.0
STY_CPX_011,Syntactic subordination depth,style,scale,3.27,3.32,0.05,mean human 3.27 vs AI 3.32,0.05
STY_CPX_012,Sentence-structure repertoire,style,multi_select,70.0,99.0,29.0,'frequent_parallel_or_list-like_structures': human 70% vs AI 99%,29.0
STY_CPX_013,Parenthetical aside frequency,style,ordinal,85.0,88.0,3.0,'2 - occasional_but_not_structural': human 85% vs AI 88%,3.0
STY_ALL_015,Lexical register and consistency,style,categorical,56.0,19.0,-37.0,'mixed_register_with_frequent_code_switching': human 56% vs AI 19%,37.0
STY_ALL_016,Latinate vs Anglo-Saxon lexical flavor,style,scale,2.51,2.83,0.32,mean human 2.51 vs AI 2.83,0.32
STY_ALL_017,Allusion density,style,scale,2.59,2.26,-0.33,mean human 2.59 vs AI 2.26,0.33
STY_ALL_018,Allusion domain diversity,style,multi_select,40.0,13.0,-27.0,'pop_culture_or_brand_names': human 40% vs AI 13%,27.0
STY_ALL_019,Jargon and technical terminology usage,style,ordinal,72.0,71.0,-1.0,'2 - occasional_technical_terms_for_flavor': human 72% vs AI 71%,1.0
STY_TON_020,Evaluative stance intensity,style,scale,2.32,2.32,-0.0,mean human 2.32 vs AI 2.32,0.0
STY_TON_021,Predominant tonal quality,style,categorical,40.0,71.0,31.0,'earnest_or_lyrical': human 40% vs AI 71%,31.0
STY_TON_023,Use of irony and humor,style,ordinal,12.0,38.0,26.0,'1 - entirely_straightfaced_no_discernible_humor': human 12% vs AI 38%,26.0
STY_TON_024,Rhythmic markedness of prose,style,scale,3.17,3.61,0.44,mean human 3.17 vs AI 3.61,0.44
STY_TON_025,Sound patterning devices,style,multi_select,79.0,98.0,19.0,'alliteration_prominent': human 79% vs AI 98%,19.0
STY_TON_027,Meta-narrative or self-reflexive commentary,style,binary,61.0,59.0,-2.0,'absent': human 61% vs AI 59%,2.0
STY_TON_028,Framing device type,style,categorical,75.0,88.0,12.0,'no_explicit_frame_plain_narration': human 75% vs AI 88%,12.0
STY_TON_029,Information density per sentence,style,scale,3.36,3.62,0.27,mean human 3.36 vs AI 3.62,0.27
SIT_GEN_001,Primary Genre Category,situatedness,categorical,8.0,15.0,6.0,'historical_realist': human 8% vs AI 15%,6.0
SIT_GEN_002,Genre Fidelity Mode,situatedness,categorical,36.0,44.0,9.0,'straight_genre_fulfillment': human 36% vs AI 44%,9.0
SIT_GEN_003,Genre Signal Timing,situatedness,ordinal,7.0,2.0,-5.0,'mid-story (after some neutral buildup)': human 7% vs AI 2%,5.0
SIT_GEN_004,Tone Toward Genre Conventions,situatedness,categorical,65.0,84.0,19.0,'earnest_sincere': human 65% vs AI 84%,19.0
SIT_GEN_005,Narrated Genre Awareness,situatedness,ordinal,52.0,60.0,8.0,'no_explicit_genre_awareness': human 52% vs AI 60%,8.0
SIT_GEN_006,Plot vs Atmosphere Orientation,situatedness,ordinal,34.0,40.0,6.0,'5-Strongly atmosphere-driven': human 34% vs AI 40%,6.0
SIT_GEN_009,Assumed Reader Competence,situatedness,categorical,40.0,32.0,-8.0,'Literary-educated reader (expects comfort with complex structures/allusions)': human 40% vs AI 32%,8.0
SIT_GEN_010,Moral / Philosophical Weighting,situatedness,scale,3.26,3.68,0.42,mean human 3.26 vs AI 3.68,0.42
SIT_MET_004,Fourth-Wall Permeability,situatedness,ordinal,43.0,63.0,20.0,'1-No fourth-wall breaking (reader never acknowledged)': human 43% vs AI 63%,20.0
SIT_MET_006,Embedded Storytelling Scenes,situatedness,ordinal,18.0,12.0,-7.0,'3-Extensive (multiple or structurally central embedded narratives/documents)': human 18% vs AI 12%,7.0
SIT_MET_002,Fourth-Wall Breaking,situatedness,binary,89.0,98.0,9.0,'no direct address': human 89% vs AI 98%,9.0
SIT_MET_005,Ontological Play & Reality Instability,situatedness,categorical,25.0,33.0,8.0,"'single speculative layer but ontologically stable (e.g., one magical or SF premise taken as given)': human 25% vs AI 33%",8.0
SIT_MET_009,Attitude Toward Literary Tradition,situatedness,categorical,25.0,39.0,14.0,"'reverent/continuist (aims mainly to honour, preserve, or smoothly extend tradition)': human 25% vs AI 39%",14.0
SIT_MET_202,Intertextual Strategy Types,situatedness,multi_select,46.0,24.0,-23.0,'explicit_named_reference_to_specific_texts_or_authors': human 46% vs AI 24%,23.0
SIT_MET_008,Reference Explicitness,situatedness,categorical,50.0,72.0,22.0,"'Primarily implicit echoes (genres, archetypes, unnamed myths)': human 50% vs AI 72%",22.0
SIT_MET_012,Literary Ambition Signaling,situatedness,categorical,63.0,79.0,15.0,'crossover genre with literary aspirations (genre frame but clear stylistic/thematic ambition)': human 63% vs AI 79%,15.0
SIT_MET_102,Ending-Level Self-Commentary on Story,situatedness,binary,37.0,47.0,10.0,'yes': human 37% vs AI 47%,10.0
SIT_MET_103,Embedded Narrative Structures,situatedness,categorical,50.0,53.0,3.0,'none': human 50% vs AI 53%,3.0
SIT_MET_104,Narrator Address Mode,situatedness,categorical,80.0,94.0,15.0,'no_direct_address': human 80% vs AI 94%,15.0
SIT_MET_301,Perceived Literary Ambition in Prose Style,situatedness,scale,3.48,3.77,0.3,mean human 3.48 vs AI 3.77,0.3
SIT_MET_302,Structural Experimentation Level,situatedness,ordinal,46.0,62.0,16.0,'simple_linear_single_strand': human 46% vs AI 62%,16.0
SIT_MET_303,Thematic Explicitness and Moralizing,situatedness,scale,3.28,3.94,0.65,mean human 3.28 vs AI 3.94,0.65
SIT_MET_402,Required External Knowledge Level,situatedness,ordinal,35.0,48.0,13.0,'none_beyond_everyday_life': human 35% vs AI 48%,13.0
SIT_MET_403,Jargon and In-Group Reference Density,situatedness,ordinal,61.0,70.0,9.0,'none_or_minimal': human 61% vs AI 70%,9.0
SIT_MET_501,Narratorial Thematic Commentary Presence,situatedness,binary,52.0,76.0,25.0,'yes': human 52% vs AI 76%,25.0
TMP_DUR_002,Narrative Time Compression,temporal_structure,scale,2.82,2.74,-0.08,mean human 2.82 vs AI 2.74,0.08
TMP_DUR_004,Dominant pacing mode,temporal_structure,categorical,46.0,52.0,6.0,'scene_dominant': human 46% vs AI 52%,6.0
TMP_DUR_006,Use of Iterative or Habitual Narration,temporal_structure,binary,20.0,19.0,-1.0,'no': human 20% vs AI 19%,1.0
TMP_DUR_009,Density of Explicit Time Markers,temporal_structure,scale,3.04,3.08,0.03,mean human 3.04 vs AI 3.08,0.03
TMP_DUR_010,Typical Inter-Scene Time Jump Magnitude,temporal_structure,categorical,33.0,42.0,9.0,'multi_day_to_few_weeks': human 33% vs AI 42%,9.0
TMP_DUR_007,Ellipsis frequency category,temporal_structure,categorical,6.0,3.0,-3.0,'frequent_large_ellipses': human 6% vs AI 3%,3.0
TMP_DUR_008,Precision of temporal anchoring,temporal_structure,ordinal,83.0,82.0,-1.0,'3_relative_day_and_duration_markers': human 83% vs AI 82%,1.0
TMP_DUR_011,Dominant Narrative Tense,temporal_structure,categorical,86.0,96.0,10.0,'past': human 86% vs AI 96%,10.0
TMP_DUR_012,Narrator's Temporal Distance from Events,temporal_structure,categorical,50.0,60.0,10.0,'slightly_retrospective (days_to_few_years_after)': human 50% vs AI 60%,10.0
TMP_ORD_001,Global Chronological Structure,temporal_structure,categorical,55.0,72.0,16.0,'mostly_chronological_with_rare_flashbacks': human 55% vs AI 72%,16.0
TMP_ORD_004,Depth of Flashback Nesting,temporal_structure,ordinal,10.0,12.0,2.0,'no_flashbacks': human 10% vs AI 12%,2.0
TMP_ORD_005,Backstory Placement Strategy,temporal_structure,categorical,12.0,18.0,6.0,'front_loaded_exposition': human 12% vs AI 18%,6.0
TMP_ORD_010,Degree of Chronological Discontinuity,temporal_structure,scale,2.4,2.12,-0.28,mean human 2.40 vs AI 2.12,0.28
TMP_ORD_002,Anachrony intensity,temporal_structure,scale,2.59,2.31,-0.28,mean human 2.59 vs AI 2.31,0.28
TMP_ORD_007,Number of interwoven temporal strands,temporal_structure,categorical,86.0,95.0,8.0,'single_strand': human 86% vs AI 95%,8.0
TMP_ORD_012,Explicit time loops or multi-version retellings,temporal_structure,binary,1.0,1.0,0.0,'yes': human 1% vs AI 1%,0.0
TMP_ORD_014,Ending temporal scope,temporal_structure,categorical,70.0,51.0,-18.0,'ends_at_or_just_after_main_climax_no_forward_jump': human 70% vs AI 51%,18.0
